3707,"MOJITO BLACKBERRIE",6500.00,"VINOS/ESP","MOJITOS"
3709,"MOJITO FRUTILLA",6500.00,"VINOS/ESP","MOJITOS"
3711,"MOJITO MANGO",6500.00,"VINOS/ESP","MOJITOS"
3713,"MOJITO MARACUYA",6500.00,"VINOS/ESP","MOJITOS"
3715,"MOJITO FRAMBUESA",6500.00,"VINOS/ESP","MOJITOS"
3717,"MOJITO COCO",6500.00,"VINOS/ESP","MOJITOS"
3719,"MOJITO APPLE",6500.00,"VINOS/ESP","MOJITOS"
3721,"MOJITO TROPICAL",6000.00,"VINOS/ESP","MOJITOS"
3723,"MOJITO PEPINO",6000.00,"VINOS/ESP","MOJITOS"
3727,"MOJITO ALBAHACA",6000.00,"VINOS/ESP","MOJITOS"
3729,"MOJITO REY",8500.00,"VINOS/ESP","MOJITOS"
3731,"MOJITO JAGER",7000.00,"VINOS/ESP","MOJITOS"
3733,"MOJITO REDBULL",9000.00,"VINOS/ESP","MOJITOS"
3735,"MOJITO YELLOW",7999.00,"VINOS/ESP","MOJITOS"
3801,"SOUR CLASICO",5000.00,"VINOS/ESP","SOUR"
3803,"SOUR SABORES",5500.00,"VINOS/ESP","SOUR"
3805,"SOUR CATEDRAL",6500.00,"VINOS/ESP","SOUR"
3807,"SOUR WHISKY",5000.00,"VINOS/ESP","SOUR"
3809,"SOUR AMARETTO",5000.00,"VINOS/ESP","SOUR"
3811,"SOUR ARANDANO",5000.00,"VINOS/ESP","SOUR"
3813,"SOUR MENTA",5000.00,"VINOS/ESP","SOUR"
3815,"SOUR ALBAHACA",5000.00,"VINOS/ESP","SOUR"
3817,"SOUR JENGIBRE",5000.00,"VINOS/ESP","SOUR"
3901," MISTRAL",6000.00,"VINOS/ESP","PISCOS"
3903,"NOBEL",7500.00,"VINOS/ESP","PISCOS"
3905,"MISTRAL FIRE",7500.00,"VINOS/ESP","PISCOS"
3907,"ALTO",6000.00,"VINOS/ESP","PISCOS"
3909,"CONDE",7500.00,"VINOS/ESP","PISCOS"
3911,"ALTO HIGH",6000.00,"VINOS/ESP","PISCOS"
3913,"HORCON QUEMADO",7500.00,"VINOS/ESP","PISCOS"
3915,"REPUBLICANO",6000.00,"VINOS/ESP","PISCOS"
3917,"ESPIRITU/ELQUI",8000.00,"VINOS/ESP","PISCOS"
3919,"FUNDO NICHOS",7000.00,"VINOS/ESP","PISCOS"
3921,"WAQAR",8500.00,"VINOS/ESP","PISCOS"
4001,"WIBOROWA",6000.00,"VINOS/ESP","VODKA"
4003,"WYBOROWA SABORES",6000.00,"VINOS/ESP","VODKA"
4005,"STOLICHNAYA",6500.00,"VINOS/ESP","VODKA"
